策略梯度训练过程记录

episode | return | success | avg_return(window) | avg_success(window)
273 | +4.7108 | 1 | +4.0864 | 0.8500
274 | +1.1206 | 0 | +3.8907 | 0.8000
275 | +1.6489 | 0 | +3.7080 | 0.7500
276 | +1.5584 | 0 | +3.5415 | 0.7000
277 | +5.0437 | 1 | +3.6072 | 0.7000
278 | +3.5738 | 1 | +3.5953 | 0.7000
279 | +5.1164 | 1 | +3.6085 | 0.7000
280 | +3.6220 | 1 | +3.5233 | 0.7000
281 | +4.5885 | 1 | +3.5916 | 0.7000
282 | +4.2878 | 1 | +3.6054 | 0.7000
283 | +3.5182 | 1 | +3.6915 | 0.7500
284 | +2.8081 | 0 | +3.6603 | 0.7000
285 | +4.1180 | 1 | +3.5956 | 0.7000
286 | +3.8692 | 1 | +3.5340 | 0.7000
287 | +3.8561 | 1 | +3.5148 | 0.7000
288 | +4.8363 | 1 | +3.6795 | 0.7500
289 | +4.1461 | 1 | +3.6370 | 0.7500
290 | +4.4036 | 1 | +3.6649 | 0.7500
291 | +4.7023 | 1 | +3.7208 | 0.7500
292 | +3.6664 | 1 | +3.7598 | 0.8000
293 | +3.6286 | 1 | +3.7057 | 0.8000
294 | +4.4424 | 1 | +3.8717 | 0.8500
295 | +4.5479 | 1 | +4.0167 | 0.9000
296 | +3.5557 | 1 | +4.1166 | 0.9500
297 | +4.8595 | 1 | +4.1073 | 0.9500
298 | +4.5151 | 1 | +4.1544 | 0.9500
299 | +3.9468 | 1 | +4.0959 | 0.9500
300 | +5.3989 | 1 | +4.1848 | 0.9500
301 | +5.2019 | 1 | +4.2154 | 0.9500
302 | +4.3560 | 1 | +4.2188 | 0.9500
303 | +3.9707 | 1 | +4.2415 | 0.9500
304 | +4.3142 | 1 | +4.3168 | 1.0000
305 | +5.2777 | 1 | +4.3748 | 1.0000
306 | +3.9461 | 1 | +4.3786 | 1.0000
307 | +4.0358 | 1 | +4.3876 | 1.0000
308 | +4.1910 | 1 | +4.3553 | 1.0000
309 | +1.6721 | 0 | +4.2316 | 0.9500
310 | +3.9198 | 1 | +4.2074 | 0.9500
311 | +2.6396 | 0 | +4.1043 | 0.9000
312 | +2.5743 | 0 | +4.0497 | 0.8500
313 | +2.0530 | 0 | +3.9709 | 0.8000
314 | +5.0092 | 1 | +3.9993 | 0.8000
315 | +4.4172 | 1 | +3.9927 | 0.8000
316 | +3.3451 | 1 | +3.9822 | 0.8000
317 | +2.5989 | 0 | +3.8692 | 0.7500
318 | +4.7573 | 1 | +3.8813 | 0.7500
319 | +4.9221 | 1 | +3.9300 | 0.7500
320 | +4.1757 | 1 | +3.8689 | 0.7500
