DQN 训练过程记录

episode | return | success | avg_return(window) | avg_success(window)
176 | +0.9800 | 1 | +0.9390 | 1.0000
177 | +0.9000 | 1 | +0.9380 | 1.0000
178 | +0.9000 | 1 | +0.9370 | 1.0000
179 | +0.9800 | 1 | +0.9370 | 1.0000
180 | +0.8800 | 1 | +0.9360 | 1.0000
181 | +0.9600 | 1 | +0.9370 | 1.0000
182 | +0.9400 | 1 | +0.9380 | 1.0000
183 | +0.9400 | 1 | +0.9400 | 1.0000
184 | +0.9200 | 1 | +0.9400 | 1.0000
185 | +0.9000 | 1 | +0.9380 | 1.0000
186 | +0.9800 | 1 | +0.9420 | 1.0000
187 | +0.9200 | 1 | +0.9410 | 1.0000
188 | +0.9200 | 1 | +0.9390 | 1.0000
189 | +0.9400 | 1 | +0.9370 | 1.0000
190 | +0.9000 | 1 | +0.9370 | 1.0000
191 | +0.9800 | 1 | +0.9380 | 1.0000
192 | +0.9000 | 1 | +0.9360 | 1.0000
193 | +0.9600 | 1 | +0.9370 | 1.0000
194 | +0.9400 | 1 | +0.9350 | 1.0000
195 | +0.9400 | 1 | +0.9340 | 1.0000
196 | +0.9400 | 1 | +0.9320 | 1.0000
197 | +0.9200 | 1 | +0.9330 | 1.0000
198 | +0.9000 | 1 | +0.9330 | 1.0000
199 | +0.8600 | 1 | +0.9270 | 1.0000
200 | +0.9800 | 1 | +0.9320 | 1.0000
201 | +0.9000 | 1 | +0.9290 | 1.0000
202 | +0.9600 | 1 | +0.9300 | 1.0000
203 | +0.9800 | 1 | +0.9320 | 1.0000
204 | +0.9400 | 1 | +0.9330 | 1.0000
205 | +0.9800 | 1 | +0.9370 | 1.0000
206 | +0.9000 | 1 | +0.9330 | 1.0000
207 | +0.9800 | 1 | +0.9360 | 1.0000
208 | +0.9000 | 1 | +0.9350 | 1.0000
209 | +0.8600 | 1 | +0.9310 | 1.0000
210 | +0.8600 | 1 | +0.9290 | 1.0000
211 | +0.9800 | 1 | +0.9290 | 1.0000
212 | +0.9600 | 1 | +0.9320 | 1.0000
213 | +0.9000 | 1 | +0.9290 | 1.0000
214 | +0.9600 | 1 | +0.9300 | 1.0000
215 | +0.9600 | 1 | +0.9310 | 1.0000
216 | +0.9600 | 1 | +0.9320 | 1.0000
217 | +0.9800 | 1 | +0.9350 | 1.0000
218 | +0.9200 | 1 | +0.9360 | 1.0000
219 | +0.9400 | 1 | +0.9400 | 1.0000
220 | +0.9600 | 1 | +0.9390 | 1.0000
221 | +0.9000 | 1 | +0.9390 | 1.0000
222 | +0.9000 | 1 | +0.9360 | 1.0000
223 | +0.9200 | 1 | +0.9330 | 1.0000
224 | +0.8600 | 1 | +0.9290 | 1.0000
225 | +0.9800 | 1 | +0.9290 | 1.0000
226 | +0.9000 | 1 | +0.9290 | 1.0000
227 | +0.9400 | 1 | +0.9270 | 1.0000
228 | +0.9600 | 1 | +0.9300 | 1.0000
229 | +0.9400 | 1 | +0.9340 | 1.0000
230 | +0.9600 | 1 | +0.9390 | 1.0000
231 | +0.9000 | 1 | +0.9350 | 1.0000
232 | +0.9200 | 1 | +0.9330 | 1.0000
233 | +0.9200 | 1 | +0.9340 | 1.0000
234 | +0.9400 | 1 | +0.9330 | 1.0000
